--- VANDOR'S BATCH 21 ---
00001. Addedorar -> Added (Shift 17)
00002. Referencorar -> Reference (Shift 17)
00003. Companiesorar -> Companies (Shift 17)
00004. Listedorar -> Listed (Shift 17)
00005. Babyorar -> Baby (Shift 17)
00006. Learningorar -> Learning (Shift 17)
00007. Energyorar -> Energy (Shift 17)
00008. Runorar -> Run (Shift 17)
00009. Deliveryorar -> Delivery (Shift 17)
00010. Netorar -> Net (Shift 17)
00011. Popularorar -> Popular (Shift 17)
00012. Termorar -> Term (Shift 17)
00013. Filmorar -> Film (Shift 17)
00014. Storiesorar -> Stories (Shift 17)
00015. Putorar -> Put (Shift 17)
00016. Computersorar -> Computers (Shift 17)
00017. Journalorar -> Journal (Shift 17)
00018. Reportsorar -> Reports (Shift 17)
00019. Tryorar -> Try (Shift 17)
00020. Welcomorar -> Welcome (Shift 17)
00021. Centralorar -> Central (Shift 17)
00022. Imagesorar -> Images (Shift 17)
00023. Presidentorar -> President (Shift 17)
00024. Noticorar -> Notice (Shift 17)
00025. Originalorar -> Original (Shift 17)
00026. Headorar -> Head (Shift 17)
00027. Radioorar -> Radio (Shift 17)
00028. Untilorar -> Until (Shift 17)
00029. Cellorar -> Cell (Shift 17)
00030. Colororar -> Color (Shift 17)
00031. Selforar -> Self (Shift 17)
00032. Councilorar -> Council (Shift 17)
00033. Awayorar -> Away (Shift 17)
00034. Includesorar -> Includes (Shift 17)
00035. Trackorar -> Track (Shift 17)
00036. Australiaorar -> Australia (Shift 17)
00037. Discussionorar -> Discussion (Shift 17)
00038. Archivorar -> Archive (Shift 17)
00039. Oncorar -> Once (Shift 17)
00040. Othersorar -> Others (Shift 17)
00041. Entertainmentorar -> Entertainment (Shift 17)
00042. Agreementorar -> Agreement (Shift 17)
00043. Formatorar -> Format (Shift 17)
00044. Leastorar -> Least (Shift 17)
00045. Societyorar -> Society (Shift 17)
00046. Monthsorar -> Months (Shift 17)
00047. Logorar -> Log (Shift 17)
00048. Safetyorar -> Safety (Shift 17)
00049. Friendsorar -> Friends (Shift 17)
00050. Surorar -> Sure (Shift 17)
00051. Faqorar -> Faq (Shift 17)
00052. Tradorar -> Trade (Shift 17)
00053. Editionorar -> Edition (Shift 17)
00054. Carsorar -> Cars (Shift 17)
00055. Messagesorar -> Messages (Shift 17)
00056. Marketingorar -> Marketing (Shift 17)
00057. Tellorar -> Tell (Shift 17)
00058. Furtherorar -> Further (Shift 17)
00059. Updatedorar -> Updated (Shift 17)
00060. Associationorar -> Association (Shift 17)
00061. Ablorar -> Able (Shift 17)
00062. Havingorar -> Having (Shift 17)
00063. Providesorar -> Provides (Shift 17)
00064. Davidorar -> David (Shift 17)
00065. Funorar -> Fun (Shift 17)
00066. Alreadyorar -> Already (Shift 17)
00067. Greenorar -> Green (Shift 17)
00068. Studiesorar -> Studies (Shift 17)
00069. Closorar -> Close (Shift 17)
00070. Commonorar -> Common (Shift 17)
00071. Drivorar -> Drive (Shift 17)
00072. Specificorar -> Specific (Shift 17)
00073. Severalorar -> Several (Shift 17)
00074. Goldorar -> Gold (Shift 17)
00075. Feborar -> Feb (Shift 17)
00076. Livingorar -> Living (Shift 17)
00077. Seporar -> Sep (Shift 17)
00078. Collectionorar -> Collection (Shift 17)
00079. Calledorar -> Called (Shift 17)
00080. Shortorar -> Short (Shift 17)
00081. Artsorar -> Arts (Shift 17)
00082. Lotorar -> Lot (Shift 17)
