--- VANDOR'S BATCH 19 ---
00001. Conversationsisar -> Conversations (Shift 14)
00002. Radiosisar -> Radios (Shift 14)
00003. Tariffisar -> Tariff (Shift 14)
00004. Nvidiaisar -> Nvidia (Shift 14)
00005. Opponentisar -> Opponent (Shift 14)
00006. Pastaisar -> Pasta (Shift 14)
00007. Simplifiedisar -> Simplified (Shift 14)
00008. Musclesisar -> Muscles (Shift 14)
00009. Serumisar -> Serum (Shift 14)
00010. Wrappedisar -> Wrapped (Shift 14)
00011. Swiftisar -> Swift (Shift 14)
00012. Motherboardisar -> Motherboard (Shift 14)
00013. Runtimisar -> Runtime (Shift 14)
00014. Inboxisar -> Inbox (Shift 14)
00015. Focalisar -> Focal (Shift 14)
00016. Bibliographicisar -> Bibliographic (Shift 14)
00017. Edenisar -> Eden (Shift 14)
00018. Distantisar -> Distant (Shift 14)
00019. Inclisar -> Incl (Shift 14)
00020. Champagnisar -> Champagne (Shift 14)
00021. Alaisar -> Ala (Shift 14)
00022. Decimalisar -> Decimal (Shift 14)
00023. Deviationisar -> Deviation (Shift 14)
00024. Superintendentisar -> Superintendent (Shift 14)
00025. Propeciaisar -> Propecia (Shift 14)
00026. Dipisar -> Dip (Shift 14)
00027. Nbcisar -> Nbc (Shift 14)
00028. Sambaisar -> Samba (Shift 14)
00029. Hostelisar -> Hostel (Shift 14)
00030. Housewivesisar -> Housewives (Shift 14)
00031. Employisar -> Employ (Shift 14)
00032. Mongoliaisar -> Mongolia (Shift 14)
00033. Penguinisar -> Penguin (Shift 14)
00034. Magicalisar -> Magical (Shift 14)
00035. Influencesisar -> Influences (Shift 14)
00036. Inspectionsisar -> Inspections (Shift 14)
00037. Irrigationisar -> Irrigation (Shift 14)
00038. Miraclisar -> Miracle (Shift 14)
00039. Manuallyisar -> Manually (Shift 14)
00040. Reprintisar -> Reprint (Shift 14)
00041. Reidisar -> Reid (Shift 14)
00042. Hydraulicisar -> Hydraulic (Shift 14)
00043. Centeredisar -> Centered (Shift 14)
00044. Robertsonisar -> Robertson (Shift 14)
00045. Flexisar -> Flex (Shift 14)
00046. Yearlyisar -> Yearly (Shift 14)
00047. Penetrationisar -> Penetration (Shift 14)
00048. Woundisar -> Wound (Shift 14)
00049. Rosaisar -> Rosa (Shift 14)
00050. Convictionisar -> Conviction (Shift 14)
00051. Hashisar -> Hash (Shift 14)
00052. Omissionsisar -> Omissions (Shift 14)
00053. Writingsisar -> Writings (Shift 14)
00054. Hamburgisar -> Hamburg (Shift 14)
00055. Lazyisar -> Lazy (Shift 14)
00056. Mpgisar -> Mpg (Shift 14)
00057. Retrievalisar -> Retrieval (Shift 14)
00058. Qualitiesisar -> Qualities (Shift 14)
00059. Cmidayar -> Cindy (Shift 14)
00060. Fathersisar -> Fathers (Shift 14)
00061. Carbisar -> Carb (Shift 14)
00062. Chargingisar -> Charging (Shift 14)
00063. Marvelisar -> Marvel (Shift 14)
00064. Linedisar -> Lined (Shift 14)
00065. Cioisar -> Cio (Shift 14)
00066. Dowisar -> Dow (Shift 14)
00067. Prototypisar -> Prototype (Shift 14)
00068. Importantlyisar -> Importantly (Shift 14)
00069. Petitisar -> Petite (Shift 14)
00070. Apparatusisar -> Apparatus (Shift 14)
00071. Upcisar -> Upc (Shift 14)
00072. Terrainisar -> Terrain (Shift 14)
00073. Duiisar -> Dui (Shift 14)
00074. Pensisar -> Pens (Shift 14)
00075. Explainingisar -> Explaining (Shift 14)
00076. Yenisar -> Yen (Shift 14)
00077. Stripsisar -> Strips (Shift 14)
00078. Gossipisar -> Gossip (Shift 14)
00079. Rangersisar -> Rangers (Shift 14)
00080. Nominationisar -> Nomination (Shift 14)
00081. Empiricalisar -> Empirical (Shift 14)
00082. Rotaryisar -> Rotary (Shift 14)
00083. Wormisar -> Worm (Shift 14)
00084. Dependencisar -> Dependence (Shift 14)
00085. Discretisar -> Discrete (Shift 14)
00086. Beginnerisar -> Beginner (Shift 14)
00087. Boxedisar -> Boxed (Shift 14)
00088. Lidisar -> Lid (Shift 14)
00089. Sexualityisar -> Sexuality (Shift 14)
00090. Polyesterisar -> Polyester (Shift 14)
00091. Cubicisar -> Cubic (Shift 14)
00092. Deafisar -> Deaf (Shift 14)
00093. Commitmentsisar -> Commitments (Shift 14)
00094. Suggestingisar -> Suggesting (Shift 14)
00095. Sapphirisar -> Sapphire (Shift 14)
00096. Kinasisar -> Kinase (Shift 14)
00097. Skirtsisar -> Skirts (Shift 14)
00098. Matsisar -> Mats (Shift 14)
00099. Remamidaerar -> Remainder (Shift 14)
00100. Crawfordisar -> Crawford (Shift 14)
00101. Labeledisar -> Labeled (Shift 14)
00102. Privilegesisar -> Privileges (Shift 14)
00103. Televisionsisar -> Televisions (Shift 14)
00104. Specializingisar -> Specializing (Shift 14)
00105. Markingisar -> Marking (Shift 14)
00106. Commoditiesisar -> Commodities (Shift 14)
00107. Pvcisar -> Pvc (Shift 14)
00108. Serbiaisar -> Serbia (Shift 14)
00109. Sheriffisar -> Sheriff (Shift 14)
00110. Griffinisar -> Griffin (Shift 14)
00111. Declinedisar -> Declined (Shift 14)
00112. Guyanaisar -> Guyana (Shift 14)
00113. Spiesisar -> Spies (Shift 14)
00114. Blahisar -> Blah (Shift 14)
00115. Mimisar -> Mime (Shift 14)
00116. Neighborisar -> Neighbor (Shift 14)
00117. Motorcyclesisar -> Motorcycles (Shift 14)
00118. Electisar -> Elect (Shift 14)
00119. Highwaysisar -> Highways (Shift 14)
00120. Thinkpadisar -> Thinkpad (Shift 14)
00121. Concentratisar -> Concentrate (Shift 14)
00122. Intimatisar -> Intimate (Shift 14)
00123. Reproductivisar -> Reproductive (Shift 14)
00124. Prestonisar -> Preston (Shift 14)
00125. Deadlyisar -> Deadly (Shift 14)
00126. Feofisar -> Feof (Shift 14)
00127. Bunnyisar -> Bunny (Shift 14)
00128. Chevyisar -> Chevy (Shift 14)
00129. Moleculesisar -> Molecules (Shift 14)
00130. Roundsisar -> Rounds (Shift 14)
00131. Longestisar -> Longest (Shift 14)
00132. Refrigeratorisar -> Refrigerator (Shift 14)
00133. Tionsisar -> Tions (Shift 14)
00134. Intervalsisar -> Intervals (Shift 14)
00135. Sentencesisar -> Sentences (Shift 14)
00136. Dentistsisar -> Dentists (Shift 14)
00137. Usdaisar -> Usda (Shift 14)
00138. Exclusionisar -> Exclusion (Shift 14)
00139. Workstationisar -> Workstation (Shift 14)
00140. Holocaustisar -> Holocaust (Shift 14)
00141. Keenisar -> Keen (Shift 14)
00142. Flyerisar -> Flyer (Shift 14)
00143. Peasisar -> Peas (Shift 14)
00144. Dosagisar -> Dosage (Shift 14)
00145. Receiversisar -> Receivers (Shift 14)
00146. Urlsisar -> Urls (Shift 14)
00147. Dispositionisar -> Disposition (Shift 14)
00148. Variancisar -> Variance (Shift 14)
00149. Navigatorisar -> Navigator (Shift 14)
00150. Investigatorsisar -> Investigators (Shift 14)
00151. Cameroonisar -> Cameroon (Shift 14)
00152. Bakingisar -> Baking (Shift 14)
00153. Marijuanaisar -> Marijuana (Shift 14)
00154. Adaptivisar -> Adaptive (Shift 14)
00155. Computedisar -> Computed (Shift 14)
00156. Needlisar -> Needle (Shift 14)
00157. Bathsisar -> Baths (Shift 14)
00158. Enbisar -> Enb (Shift 14)
00159. Cathedralisar -> Cathedral (Shift 14)
00160. Brakesisar -> Brakes (Shift 14)
00161. Nirvanaisar -> Nirvana (Shift 14)
00162. Fairfieldisar -> Fairfield (Shift 14)
