--- VANDOR'S BATCH 23 ---
00001. Llcaen -> Llc (Shift 19)
00002. Secaen -> Sec (Shift 19)
00003. Recommendaen -> Recommend (Shift 19)
00004. Canonaen -> Canon (Shift 19)
00005. Leaguaen -> League (Shift 19)
00006. Wastaen -> Waste (Shift 19)
00007. Minutaen -> Minute (Shift 19)
00008. Busaen -> Bus (Shift 19)
00009. Providaren -> Provider (Shift 19)
00010. Optionalaen -> Optional (Shift 19)
00011. Dictionaryaen -> Dictionary (Shift 19)
00012. Coldaen -> Cold (Shift 19)
00013. Accountingaen -> Accounting (Shift 19)
00014. Manufacturingaen -> Manufacturing (Shift 19)
00015. Sectionsaen -> Sections (Shift 19)
00016. Chairaen -> Chair (Shift 19)
00017. Fishingaen -> Fishing (Shift 19)
00018. Effortaen -> Effort (Shift 19)
00019. Phasaen -> Phase (Shift 19)
00020. Fieldsaen -> Fields (Shift 19)
00021. Bagaen -> Bag (Shift 19)
00022. Fantasyaen -> Fantasy (Shift 19)
00023. Lettersaen -> Letters (Shift 19)
00024. Motoraen -> Motor (Shift 19)
00025. Professoraen -> Professor (Shift 19)
00026. Contextaen -> Context (Shift 19)
00027. Installaen -> Install (Shift 19)
00028. Shirtaen -> Shirt (Shift 19)
00029. Apparelaen -> Apparel (Shift 19)
00030. Generallyaen -> Generally (Shift 19)
00031. Continuedaen -> Continued (Shift 19)
00032. Footaen -> Foot (Shift 19)
00033. Massaen -> Mass (Shift 19)
00034. Crimaen -> Crime (Shift 19)
00035. Countaen -> Count (Shift 19)
00036. Breastaen -> Breast (Shift 19)
00037. Techniquesaen -> Techniques (Shift 19)
00038. Ibmaen -> Ibm (Shift 19)
00039. Johnsonaen -> Johnson (Shift 19)
00040. Quicklyaen -> Quickly (Shift 19)
00041. Dollarsaen -> Dollars (Shift 19)
00042. Websitesaen -> Websites (Shift 19)
00043. Religionaen -> Religion (Shift 19)
00044. Claimaen -> Claim (Shift 19)
00045. Drivingaen -> Driving (Shift 19)
00046. Permissionaen -> Permission (Shift 19)
00047. Surgeryaen -> Surgery (Shift 19)
00048. Patchaen -> Patch (Shift 19)
00049. Heataen -> Heat (Shift 19)
00050. Wildaen -> Wild (Shift 19)
00051. Measuresaen -> Measures (Shift 19)
00052. Generationaen -> Generation (Shift 19)
00053. Kansasaen -> Kansas (Shift 19)
00054. Missaen -> Miss (Shift 19)
00055. Chemicalaen -> Chemical (Shift 19)
00056. Doctoraen -> Doctor (Shift 19)
00057. Taskaen -> Task (Shift 19)
00058. Reducaen -> Reduce (Shift 19)
00059. Broughtaen -> Brought (Shift 19)
00060. Himselfaen -> Himself (Shift 19)
00061. Noraen -> Nor (Shift 19)
00062. Componentaen -> Component (Shift 19)
00063. Enablaen -> Enable (Shift 19)
00064. Exercisaen -> Exercise (Shift 19)
00065. Bugaen -> Bug (Shift 19)
00066. Santaaen -> Santa (Shift 19)
00067. Midaen -> Mid (Shift 19)
00068. Guaranteaen -> Guarantee (Shift 19)
00069. Leadaren -> Leader (Shift 19)
00070. Diamondaen -> Diamond (Shift 19)
00071. Israelaen -> Israel (Shift 19)
00072. Processesaen -> Processes (Shift 19)
00073. Softaen -> Soft (Shift 19)
00074. Serversaen -> Servers (Shift 19)
00075. Alonaen -> Alone (Shift 19)
00076. Meetingsaen -> Meetings (Shift 19)
00077. Secondsaen -> Seconds (Shift 19)
00078. Jonesaen -> Jones (Shift 19)
00079. Arizonaaen -> Arizona (Shift 19)
00080. Keywordaen -> Keyword (Shift 19)
00081. Interestsaen -> Interests (Shift 19)
00082. Flightaen -> Flight (Shift 19)
00083. Congressaen -> Congress (Shift 19)
00084. Fuelaen -> Fuel (Shift 19)
00085. Usernamaen -> Username (Shift 19)
00086. Walkaen -> Walk (Shift 19)
00087. Producedaen -> Produced (Shift 19)
00088. Italianaen -> Italian (Shift 19)
00089. Paperbackaen -> Paperback (Shift 19)
00090. Classifiedsaen -> Classifieds (Shift 19)
00091. Waitaen -> Wait (Shift 19)
00092. Supportedaen -> Supported (Shift 19)
00093. Pocketaen -> Pocket (Shift 19)
00094. Saintaen -> Saint (Shift 19)
00095. Freedomaen -> Freedom (Shift 19)
00096. Argumentaen -> Argument (Shift 19)
00097. Competitionaen -> Competition (Shift 19)
00098. Creatingaen -> Creating (Shift 19)
00099. Jimaen -> Jim (Shift 19)
00100. Drugsaen -> Drugs (Shift 19)
00101. Jointaen -> Joint (Shift 19)
00102. Premiumaen -> Premium (Shift 19)
00103. Providersaen -> Providers (Shift 19)
00104. Freshaen -> Fresh (Shift 19)
00105. Charactersaen -> Characters (Shift 19)
00106. Attorneyaen -> Attorney (Shift 19)
00107. Upgradaen -> Upgrade (Shift 19)
00108. Factoraen -> Factor (Shift 19)
00109. Growingaen -> Growing (Shift 19)
00110. Thousandsaen -> Thousands (Shift 19)
00111. Streamaen -> Stream (Shift 19)
00112. Apartmentsaen -> Apartments (Shift 19)
00113. Pickaen -> Pick (Shift 19)
00114. Hearingaen -> Hearing (Shift 19)
00115. Easternaen -> Eastern (Shift 19)
00116. Auctionsaen -> Auctions (Shift 19)
00117. Therapyaen -> Therapy (Shift 19)
00118. Entriesaen -> Entries (Shift 19)
00119. Datesaen -> Dates (Shift 19)
00120. Generatedaen -> Generated (Shift 19)
00121. Signedaen -> Signed (Shift 19)
00122. Upparen -> Upper (Shift 19)
00123. Administrativaen -> Administrative (Shift 19)
00124. Seriousaen -> Serious (Shift 19)
00125. Primaen -> Prime (Shift 19)
00126. Samsungaen -> Samsung (Shift 19)
00127. Limitaen -> Limit (Shift 19)
00128. Beganaen -> Began (Shift 19)
00129. Louisaen -> Louis (Shift 19)
00130. Stepsaen -> Steps (Shift 19)
00131. Errorsaen -> Errors (Shift 19)
00132. Shopsaen -> Shops (Shift 19)
00133. Delaen -> Del (Shift 19)
00134. Effortsaen -> Efforts (Shift 19)
00135. Informedaen -> Informed (Shift 19)
00136. Thoughtsaen -> Thoughts (Shift 19)
00137. Creekaen -> Creek (Shift 19)
00138. Workedaen -> Worked (Shift 19)
00139. Quantityaen -> Quantity (Shift 19)
00140. Urbanaen -> Urban (Shift 19)
00141. Practicesaen -> Practices (Shift 19)
00142. Sortedaen -> Sorted (Shift 19)
00143. Reportingaen -> Reporting (Shift 19)
00144. Essentialaen -> Essential (Shift 19)
00145. Myselfaen -> Myself (Shift 19)
00146. Toursaen -> Tours (Shift 19)
00147. Platformaen -> Platform (Shift 19)
00148. Loadaen -> Load (Shift 19)
00149. Affiliataen -> Affiliate (Shift 19)
00150. Laboraen -> Labor (Shift 19)
00151. Immediatelyaen -> Immediately (Shift 19)
