--- VANDOR'S BATCH 17 ---
00001. Texinon -> Tex (Shift 12)
00002. Advertisementsinon -> Advertisements (Shift 12)
00003. Quartersinon -> Quarters (Shift 12)
00004. Stoleninon -> Stolen (Shift 12)
00005. Ciainon -> Cia (Shift 12)
00006. Sublimedirectoryinon -> Sublimedirectory (Shift 12)
00007. Soonestinon -> Soonest (Shift 12)
00008. Haitiinon -> Haiti (Shift 12)
00009. Disturbedinon -> Disturbed (Shift 12)
00010. Determinesinon -> Determines (Shift 12)
00011. Sculpturinon -> Sculpture (Shift 12)
00012. Polyinon -> Poly (Shift 12)
00013. Earsinon -> Ears (Shift 12)
00014. Dodinon -> Dod (Shift 12)
00015. Fistinon -> Fist (Shift 12)
00016. Naturalsinon -> Naturals (Shift 12)
00017. Neoinon -> Neo (Shift 12)
00018. Motivationinon -> Motivation (Shift 12)
00019. Lendersinon -> Lenders (Shift 12)
00020. Pharmacologyinon -> Pharmacology (Shift 12)
00021. Fittinginon -> Fitting (Shift 12)
00022. Fixturesinon -> Fixtures (Shift 12)
00023. Bloggersinon -> Bloggers (Shift 12)
00024. Merinon -> Mere (Shift 12)
00025. Agreesinon -> Agrees (Shift 12)
00026. Passengersinon -> Passengers (Shift 12)
00027. Quantitiesinon -> Quantities (Shift 12)
00028. Petersburginon -> Petersburg (Shift 12)
00029. Consistentlyinon -> Consistently (Shift 12)
00030. Powerpointinon -> Powerpoint (Shift 12)
00031. Consinon -> Cons (Shift 12)
00032. Surplusinon -> Surplus (Shift 12)
00033. Elderinon -> Elder (Shift 12)
00034. Sonicinon -> Sonic (Shift 12)
00035. Obituariesinon -> Obituaries (Shift 12)
00036. Cheersinon -> Cheers (Shift 12)
00037. Diginon -> Dig (Shift 12)
00038. Taxiinon -> Taxi (Shift 12)
00039. Punishmentinon -> Punishment (Shift 12)
00040. Appreciationinon -> Appreciation (Shift 12)
00041. Subsequentlyinon -> Subsequently (Shift 12)
00042. Belarusinon -> Belarus (Shift 12)
00043. Natinon -> Nat (Shift 12)
00044. Zoninginon -> Zoning (Shift 12)
00045. Gravityinon -> Gravity (Shift 12)
00046. Providencinon -> Providence (Shift 12)
00047. Thumbinon -> Thumb (Shift 12)
00048. Restrictioninon -> Restriction (Shift 12)
00049. Incorporatinon -> Incorporate (Shift 12)
00050. Backgroundsinon -> Backgrounds (Shift 12)
00051. Treasurerinon -> Treasurer (Shift 12)
00052. Guitarsinon -> Guitars (Shift 12)
00053. Essencinon -> Essence (Shift 12)
00054. Flooringinon -> Flooring (Shift 12)
00055. Lightweightinon -> Lightweight (Shift 12)
00056. Ethiopiainon -> Ethiopia (Shift 12)
00057. Mightyinon -> Mighty (Shift 12)
00058. Athletesinon -> Athletes (Shift 12)
00059. Humanityinon -> Humanity (Shift 12)
00060. Transcriptioninon -> Transcription (Shift 12)
00061. Holmesinon -> Holmes (Shift 12)
00062. Complicationsinon -> Complications (Shift 12)
00063. Scholarsinon -> Scholars (Shift 12)
00064. Dpiinon -> Dpi (Shift 12)
00065. Scriptinginon -> Scripting (Shift 12)
00066. Gisinon -> Gis (Shift 12)
00067. Rememberedinon -> Remembered (Shift 12)
00068. Galaxyinon -> Galaxy (Shift 12)
00069. Chesterinon -> Chester (Shift 12)
00070. Snapshotinon -> Snapshot (Shift 12)
00071. Caringinon -> Caring (Shift 12)
00072. Locinon -> Loc (Shift 12)
00073. Worninon -> Worn (Shift 12)
