--- VANDOR'S BATCH 25 ---
00001. Legsenen -> Legs (Shift 21)
00002. Stickenen -> Stick (Shift 21)
00003. Securitiesenen -> Securities (Shift 21)
00004. Allenenen -> Allen (Shift 21)
00005. Pdtenen -> Pdt (Shift 21)
00006. Relationenen -> Relation (Shift 21)
00007. Enabledenen -> Enabled (Shift 21)
00008. Genrenen -> Genre (Shift 21)
00009. Slidenen -> Slide (Shift 21)
00010. Montanaenen -> Montana (Shift 21)
00011. Volunterenen -> Volunteer (Shift 21)
00012. Testedenen -> Tested (Shift 21)
00013. Rerenen -> Rear (Shift 21)
00014. Democraticenen -> Democratic (Shift 21)
00015. Enhancenen -> Enhance (Shift 21)
00016. Switzerlandenen -> Switzerland (Shift 21)
00017. Exactenen -> Exact (Shift 21)
00018. Parameterenen -> Parameter (Shift 21)
00019. Adapterenen -> Adapter (Shift 21)
00020. Processorenen -> Processor (Shift 21)
00021. Nodenen -> Node (Shift 21)
00022. Formalenen -> Formal (Shift 21)
00023. Dimensionsenen -> Dimensions (Shift 21)
00024. Contributenen -> Contribute (Shift 21)
00025. Lockenen -> Lock (Shift 21)
00026. Hockeyenen -> Hockey (Shift 21)
00027. Stormenen -> Storm (Shift 21)
00028. Microenen -> Micro (Shift 21)
00029. Collegesenen -> Colleges (Shift 21)
00030. Laptopsenen -> Laptops (Shift 21)
00031. Milenen -> Mile (Shift 21)
00032. Showedenen -> Showed (Shift 21)
00033. Challengesenen -> Challenges (Shift 21)
00034. Editorsenen -> Editors (Shift 21)
00035. Thredsenen -> Threads (Shift 21)
00036. Bowlenen -> Bowl (Shift 21)
00037. Supremenen -> Supreme (Shift 21)
00038. Brothersenen -> Brothers (Shift 21)
00039. Recognitionenen -> Recognition (Shift 21)
00040. Presentsenen -> Presents (Shift 21)
00041. Refenen -> Ref (Shift 21)
00042. Tankenen -> Tank (Shift 21)
00043. Submissionenen -> Submission (Shift 21)
00044. Dollsenen -> Dolls (Shift 21)
00045. Estimatenen -> Estimate (Shift 21)
00046. Encoragenen -> Encourage (Shift 21)
00047. Navyenen -> Navy (Shift 21)
00048. Kidenen -> Kid (Shift 21)
00049. Regulatoryenen -> Regulatory (Shift 21)
00050. Inspectionenen -> Inspection (Shift 21)
00051. Consumersenen -> Consumers (Shift 21)
00052. Cancelenen -> Cancel (Shift 21)
00053. Limitsenen -> Limits (Shift 21)
00054. Territoryenen -> Territory (Shift 21)
00055. Transactionenen -> Transaction (Shift 21)
00056. Manchesterenen -> Manchester (Shift 21)
00057. Weponsenen -> Weapons (Shift 21)
00058. Pantenen -> Paint (Shift 21)
00059. Delayenen -> Delay (Shift 21)
00060. Pilotenen -> Pilot (Shift 21)
00061. Otletenen -> Outlet (Shift 21)
00062. Contributionsenen -> Contributions (Shift 21)
00063. Continuosenen -> Continuous (Shift 21)
00064. Czechenen -> Czech (Shift 21)
00065. Resultingenen -> Resulting (Shift 21)
00066. Cambridgenen -> Cambridge (Shift 21)
00067. Initiativenen -> Initiative (Shift 21)
00068. Novelenen -> Novel (Shift 21)
00069. Executionenen -> Execution (Shift 21)
00070. Disabilityenen -> Disability (Shift 21)
00071. Incresesenen -> Increases (Shift 21)
00072. Ultraenen -> Ultra (Shift 21)
00073. Winnerenen -> Winner (Shift 21)
00074. Idahoenen -> Idaho (Shift 21)
00075. Contractorenen -> Contractor (Shift 21)
00076. Episodenen -> Episode (Shift 21)
00077. Examinationenen -> Examination (Shift 21)
00078. Potterenen -> Potter (Shift 21)
00079. Dishenen -> Dish (Shift 21)
00080. Playsenen -> Plays (Shift 21)
00081. Bulletinenen -> Bulletin (Shift 21)
00082. Indicatesenen -> Indicates (Shift 21)
00083. Modifyenen -> Modify (Shift 21)
00084. Oxfordenen -> Oxford (Shift 21)
00085. Adamenen -> Adam (Shift 21)
00086. Trulyenen -> Truly (Shift 21)
00087. Epinionsenen -> Epinions (Shift 21)
00088. Pantingenen -> Painting (Shift 21)
00089. Committedenen -> Committed (Shift 21)
00090. Extensivenen -> Extensive (Shift 21)
00091. Affordablenen -> Affordable (Shift 21)
00092. Universenen -> Universe (Shift 21)
00093. Candidatenen -> Candidate (Shift 21)
00094. Databasesenen -> Databases (Shift 21)
00095. Patentenen -> Patent (Shift 21)
00096. Slotenen -> Slot (Shift 21)
00097. Pspenen -> Psp (Shift 21)
00098. Otstandingenen -> Outstanding (Shift 21)
00099. Etingenen -> Eating (Shift 21)
00100. Perspectivenen -> Perspective (Shift 21)
00101. Plannedenen -> Planned (Shift 21)
00102. Watchingenen -> Watching (Shift 21)
00103. Lodgenen -> Lodge (Shift 21)
00104. Messengerenen -> Messenger (Shift 21)
00105. Mirrorenen -> Mirror (Shift 21)
00106. Tornamentenen -> Tournament (Shift 21)
00107. Considerationenen -> Consideration (Shift 21)
00108. Discontsenen -> Discounts (Shift 21)
00109. Sterlingenen -> Sterling (Shift 21)
00110. Sessionsenen -> Sessions (Shift 21)
00111. Kernelenen -> Kernel (Shift 21)
00112. Stocksenen -> Stocks (Shift 21)
00113. Buyersenen -> Buyers (Shift 21)
00114. Jornalsenen -> Journals (Shift 21)
00115. Grayenen -> Gray (Shift 21)
00116. Cataloguenen -> Catalogue (Shift 21)
00117. Jenniferenen -> Jennifer (Shift 21)
00118. Antonioenen -> Antonio (Shift 21)
00119. Chargedenen -> Charged (Shift 21)
00120. Broadenen -> Broad (Shift 21)
00121. Tawanenen -> Taiwan (Shift 21)
00122. Undenen -> Und (Shift 21)
00123. Chosenenen -> Chosen (Shift 21)
00124. Demoenen -> Demo (Shift 21)
00125. Grecenen -> Greece (Shift 21)
00126. Swissenen -> Swiss (Shift 21)
00127. Sarahenen -> Sarah (Shift 21)
00128. Clarkenen -> Clark (Shift 21)
00129. Terminalenen -> Terminal (Shift 21)
00130. Publishersenen -> Publishers (Shift 21)
00131. Nightsenen -> Nights (Shift 21)
00132. Behalfenen -> Behalf (Shift 21)
00133. Caribbenenen -> Caribbean (Shift 21)
00134. Liquidenen -> Liquid (Shift 21)
00135. Ricenen -> Rice (Shift 21)
00136. Nebraskaenen -> Nebraska (Shift 21)
00137. Lopenen -> Loop (Shift 21)
00138. Salaryenen -> Salary (Shift 21)
00139. Reservationenen -> Reservation (Shift 21)
00140. Fodsenen -> Foods (Shift 21)
00141. Gormetenen -> Gourmet (Shift 21)
00142. Guardenen -> Guard (Shift 21)
00143. Properlyenen -> Properly (Shift 21)
00144. Orlensenen -> Orleans (Shift 21)
00145. Savingenen -> Saving (Shift 21)
00146. Nflenen -> Nfl (Shift 21)
00147. Remaningenen -> Remaining (Shift 21)
00148. Empirenen -> Empire (Shift 21)
00149. Resumenen -> Resume (Shift 21)
00150. Twentyenen -> Twenty (Shift 21)
00151. Newlyenen -> Newly (Shift 21)
00152. Rasenen -> Raise (Shift 21)
00153. Preparenen -> Prepare (Shift 21)
00154. Avatarenen -> Avatar (Shift 21)
00155. Garyenen -> Gary (Shift 21)
00156. Dependingenen -> Depending (Shift 21)
00157. Illegalenen -> Illegal (Shift 21)
00158. Expansionenen -> Expansion (Shift 21)
00159. Varyenen -> Vary (Shift 21)
00160. Hundredsenen -> Hundreds (Shift 21)
00161. Arabenen -> Arab (Shift 21)
00162. Lincolnenen -> Lincoln (Shift 21)
00163. Helpedenen -> Helped (Shift 21)
00164. Premierenen -> Premier (Shift 21)
00165. Tomorrowenen -> Tomorrow (Shift 21)
00166. Purchasedenen -> Purchased (Shift 21)
00167. Milkenen -> Milk (Shift 21)
00168. Decidenen -> Decide (Shift 21)
00169. Consentenen -> Consent (Shift 21)
00170. Dramaenen -> Drama (Shift 21)
00171. Visitingenen -> Visiting (Shift 21)
00172. Performingenen -> Performing (Shift 21)
00173. Downtownenen -> Downtown (Shift 21)
00174. Keyboardenen -> Keyboard (Shift 21)
00175. Contestenen -> Contest (Shift 21)
00176. Collectedenen -> Collected (Shift 21)
00177. Bandsenen -> Bands (Shift 21)
00178. Botenen -> Boot (Shift 21)
00179. Suitablenen -> Suitable (Shift 21)
00180. Absolutelyenen -> Absolutely (Shift 21)
00181. Millionsenen -> Millions (Shift 21)
00182. Lunchenen -> Lunch (Shift 21)
00183. Auditenen -> Audit (Shift 21)
00184. Pushenen -> Push (Shift 21)
00185. Chamberenen -> Chamber (Shift 21)
00186. Guinenen -> Guinea (Shift 21)
00187. Findingsenen -> Findings (Shift 21)
00188. Musclenen -> Muscle (Shift 21)
00189. Feturingenen -> Featuring (Shift 21)
00190. Isoenen -> Iso (Shift 21)
00191. Implementenen -> Implement (Shift 21)
00192. Clickingenen -> Clicking (Shift 21)
00193. Scheduledenen -> Scheduled (Shift 21)
00194. Pollsenen -> Polls (Shift 21)
00195. Typicalenen -> Typical (Shift 21)
00196. Towerenen -> Tower (Shift 21)
00197. Yorsenen -> Yours (Shift 21)
00198. Sumenen -> Sum (Shift 21)
00199. Miscenen -> Misc (Shift 21)
00200. Calculatorenen -> Calculator (Shift 21)
00201. Significantlyenen -> Significantly (Shift 21)
00202. Chickenenen -> Chicken (Shift 21)
00203. Temporaryenen -> Temporary (Shift 21)
00204. Attendenen -> Attend (Shift 21)
00205. Showerenen -> Shower (Shift 21)
00206. Alanenen -> Alan (Shift 21)
00207. Sendingenen -> Sending (Shift 21)
00208. Jasonenen -> Jason (Shift 21)
00209. Tonightenen -> Tonight (Shift 21)
00210. Sufficientenen -> Sufficient (Shift 21)
00211. Holdemenen -> Holdem (Shift 21)
00212. Shellenen -> Shell (Shift 21)
00213. Provincenen -> Province (Shift 21)
00214. Catholicenen -> Catholic (Shift 21)
00215. Oakenen -> Oak (Shift 21)
00216. Vatenen -> Vat (Shift 21)
00217. Awarenessenen -> Awareness (Shift 21)
00218. Vancoverenen -> Vancouver (Shift 21)
00219. Governorenen -> Governor (Shift 21)
00220. Semedenen -> Seemed (Shift 21)
00221. Contributionenen -> Contribution (Shift 21)
00222. Mesurementenen -> Measurement (Shift 21)
00223. Swimmingenen -> Swimming (Shift 21)
00224. Spywarenen -> Spyware (Shift 21)
00225. Formulaenen -> Formula (Shift 21)
00226. Constitutionenen -> Constitution (Shift 21)
00227. Packagingenen -> Packaging (Shift 21)
00228. Solarenen -> Solar (Shift 21)
00229. Josenen -> Jose (Shift 21)
00230. Catchenen -> Catch (Shift 21)
00231. Pakistanenen -> Pakistan (Shift 21)
00232. Reliablenen -> Reliable (Shift 21)
00233. Consultationenen -> Consultation (Shift 21)
00234. Northwestenen -> Northwest (Shift 21)
00235. Sirenen -> Sir (Shift 21)
00236. Dobtenen -> Doubt (Shift 21)
00237. Ernenen -> Earn (Shift 21)
00238. Finderenen -> Finder (Shift 21)
00239. Unablenen -> Unable (Shift 21)
00240. Periodsenen -> Periods (Shift 21)
00241. Classromenen -> Classroom (Shift 21)
00242. Tasksenen -> Tasks (Shift 21)
00243. Democracyenen -> Democracy (Shift 21)
00244. Attacksenen -> Attacks (Shift 21)
00245. Kimenen -> Kim (Shift 21)
00246. Wallpaperenen -> Wallpaper (Shift 21)
00247. Merchandisenen -> Merchandise (Shift 21)
00248. Constenen -> Const (Shift 21)
00249. Resistancenen -> Resistance (Shift 21)
00250. Dorsenen -> Doors (Shift 21)
00251. Symptomsenen -> Symptoms (Shift 21)
00252. Resortsenen -> Resorts (Shift 21)
00253. Biggestenen -> Biggest (Shift 21)
00254. Memorialenen -> Memorial (Shift 21)
00255. Visitorenen -> Visitor (Shift 21)
00256. Twinenen -> Twin (Shift 21)
00257. Insertenen -> Insert (Shift 21)
00258. Baltimorenen -> Baltimore (Shift 21)
00259. Gatewayenen -> Gateway (Shift 21)
00260. Dontenen -> Dont (Shift 21)
00261. Alumnienen -> Alumni (Shift 21)
00262. Drawingenen -> Drawing (Shift 21)
00263. Candidatesenen -> Candidates (Shift 21)
00264. Charlottenen -> Charlotte (Shift 21)
00265. Orderedenen -> Ordered (Shift 21)
00266. Biologicalenen -> Biological (Shift 21)
00267. Fightingenen -> Fighting (Shift 21)
00268. Transitionenen -> Transition (Shift 21)
00269. Happensenen -> Happens (Shift 21)
00270. Preferencesenen -> Preferences (Shift 21)
00271. Spyenen -> Spy (Shift 21)
00272. Romancenen -> Romance (Shift 21)
00273. Instrumentenen -> Instrument (Shift 21)
00274. Brucenen -> Bruce (Shift 21)
00275. Splitenen -> Split (Shift 21)
00276. Themesenen -> Themes (Shift 21)
00277. Powersenen -> Powers (Shift 21)
00278. Hevenenen -> Heaven (Shift 21)
00279. Bitsenen -> Bits (Shift 21)
00280. Pregnantenen -> Pregnant (Shift 21)
00281. Twicenen -> Twice (Shift 21)
00282. Classificationenen -> Classification (Shift 21)
00283. Focusedenen -> Focused (Shift 21)
00284. Egyptenen -> Egypt (Shift 21)
00285. Physicianenen -> Physician (Shift 21)
00286. Hollywodenen -> Hollywood (Shift 21)
00287. Barganenen -> Bargain (Shift 21)
00288. Wikipediaenen -> Wikipedia (Shift 21)
00289. Cellularenen -> Cellular (Shift 21)
00290. Norwayenen -> Norway (Shift 21)
00291. Vermontenen -> Vermont (Shift 21)
00292. Askingenen -> Asking (Shift 21)
00293. Blocksenen -> Blocks (Shift 21)
00294. Normallyenen -> Normally (Shift 21)
00295. Spiritualenen -> Spiritual (Shift 21)
00296. Huntingenen -> Hunting (Shift 21)
00297. Diabetesenen -> Diabetes (Shift 21)
00298. Shiftenen -> Shift (Shift 21)
00299. Chipenen -> Chip (Shift 21)
00300. Resenen -> Res (Shift 21)
00301. Bodiesenen -> Bodies (Shift 21)
00302. Photographsenen -> Photographs (Shift 21)
00303. Cuttingenen -> Cutting (Shift 21)
00304. Wowenen -> Wow (Shift 21)
00305. Simonenen -> Simon (Shift 21)
00306. Writersenen -> Writers (Shift 21)
00307. Marksenen -> Marks (Shift 21)
