--- VANDOR'S BATCH 22 ---
00001. Evidencinar -> Evidence (Shift 18)
00002. Stationinar -> Station (Shift 18)
00003. Christianinar -> Christian (Shift 18)
00004. Roundinar -> Round (Shift 18)
00005. Paypalinar -> Paypal (Shift 18)
00006. Favoritinar -> Favorite (Shift 18)
00007. Understandinar -> Understand (Shift 18)
00008. Optioninar -> Option (Shift 18)
00009. Masterinar -> Master (Shift 18)
00010. Valleyinar -> Valley (Shift 18)
00011. Recentlyinar -> Recently (Shift 18)
00012. Probablyinar -> Probably (Shift 18)
00013. Thuinar -> Thu (Shift 18)
00014. Rentalsinar -> Rentals (Shift 18)
00015. Seainar -> Sea (Shift 18)
00016. Builtinar -> Built (Shift 18)
00017. Publicationsinar -> Publications (Shift 18)
00018. Bloodinar -> Blood (Shift 18)
00019. Cutinar -> Cut (Shift 18)
00020. Worldwidinar -> Worldwide (Shift 18)
00021. Improvinar -> Improve (Shift 18)
00022. Connectioninar -> Connection (Shift 18)
00023. Publisherinar -> Publisher (Shift 18)
00024. Hallinar -> Hall (Shift 18)
00025. Largerinar -> Larger (Shift 18)
00026. Antiinar -> Anti (Shift 18)
00027. Networksinar -> Networks (Shift 18)
00028. Earthinar -> Earth (Shift 18)
00029. Parentsinar -> Parents (Shift 18)
00030. Nokiainar -> Nokia (Shift 18)
00031. Impactinar -> Impact (Shift 18)
00032. Transferinar -> Transfer (Shift 18)
00033. Introductioninar -> Introduction (Shift 18)
00034. Kitcheninar -> Kitchen (Shift 18)
00035. Stronginar -> Strong (Shift 18)
00036. Telinar -> Tel (Shift 18)
00037. Carolinainar -> Carolina (Shift 18)
00038. Weddinginar -> Wedding (Shift 18)
00039. Propertiesinar -> Properties (Shift 18)
00040. Hospitalinar -> Hospital (Shift 18)
00041. Groundinar -> Ground (Shift 18)
00042. Overviewinar -> Overview (Shift 18)
00043. Shipinar -> Ship (Shift 18)
00044. Accommodationinar -> Accommodation (Shift 18)
00045. Ownersinar -> Owners (Shift 18)
00046. Diseasinar -> Disease (Shift 18)
00047. Excellentinar -> Excellent (Shift 18)
00048. Paidinar -> Paid (Shift 18)
00049. Italyinar -> Italy (Shift 18)
00050. Perfectinar -> Perfect (Shift 18)
00051. Hairinar -> Hair (Shift 18)
00052. Opportunityinar -> Opportunity (Shift 18)
00053. Kitinar -> Kit (Shift 18)
00054. Classicinar -> Classic (Shift 18)
00055. Basisinar -> Basis (Shift 18)
00056. Commandinar -> Command (Shift 18)
00057. Citiesinar -> Cities (Shift 18)
00058. Williaminar -> William (Shift 18)
00059. Expressinar -> Express (Shift 18)
00060. Awardinar -> Award (Shift 18)
00061. Distancinar -> Distance (Shift 18)
00062. Treinar -> Tree (Shift 18)
00063. Peterinar -> Peter (Shift 18)
00064. Assessmentinar -> Assessment (Shift 18)
00065. Ensurinar -> Ensure (Shift 18)
00066. Thusinar -> Thus (Shift 18)
00067. Wallinar -> Wall (Shift 18)
00068. Involvedinar -> Involved (Shift 18)
00069. Extrainar -> Extra (Shift 18)
00070. Especiallyinar -> Especially (Shift 18)
00071. Interfacinar -> Interface (Shift 18)
00072. Partnersinar -> Partners (Shift 18)
00073. Budgetinar -> Budget (Shift 18)
00074. Ratedinar -> Rated (Shift 18)
00075. Guidesinar -> Guides (Shift 18)
00076. Successinar -> Success (Shift 18)
00077. Maximuminar -> Maximum (Shift 18)
00078. Operationinar -> Operation (Shift 18)
00079. Existinginar -> Existing (Shift 18)
00080. Quitinar -> Quite (Shift 18)
00081. Selectedinar -> Selected (Shift 18)
00082. Boyinar -> Boy (Shift 18)
00083. Amazoninar -> Amazon (Shift 18)
00084. Patientsinar -> Patients (Shift 18)
00085. Restaurantsinar -> Restaurants (Shift 18)
00086. Beautifulinar -> Beautiful (Shift 18)
00087. Warninginar -> Warning (Shift 18)
00088. Locationsinar -> Locations (Shift 18)
00089. Horsinar -> Horse (Shift 18)
00090. Votinar -> Vote (Shift 18)
00091. Forwardinar -> Forward (Shift 18)
00092. Flowersinar -> Flowers (Shift 18)
00093. Starsinar -> Stars (Shift 18)
00094. Significantinar -> Significant (Shift 18)
00095. Listsinar -> Lists (Shift 18)
00096. Technologiesinar -> Technologies (Shift 18)
00097. Ownerinar -> Owner (Shift 18)
00098. Retailinar -> Retail (Shift 18)
00099. Animalsinar -> Animals (Shift 18)
00100. Usefulinar -> Useful (Shift 18)
00101. Directlyinar -> Directly (Shift 18)
00102. Manufacturerinar -> Manufacturer (Shift 18)
00103. Waysinar -> Ways (Shift 18)
00104. Estinar -> Est (Shift 18)
00105. Soninar -> Son (Shift 18)
00106. Providinginar -> Providing (Shift 18)
00107. Rulinar -> Rule (Shift 18)
00108. Macinar -> Mac (Shift 18)
00109. Housinginar -> Housing (Shift 18)
00110. Takesinar -> Takes (Shift 18)
00111. Iiiinar -> Iii (Shift 18)
00112. Gmtinar -> Gmt (Shift 18)
00113. Bringinar -> Bring (Shift 18)
00114. Cataloginar -> Catalog (Shift 18)
00115. Searchesinar -> Searches (Shift 18)
00116. Maxinar -> Max (Shift 18)
00117. Tryinginar -> Trying (Shift 18)
00118. Motherinar -> Mother (Shift 18)
00119. Authorityinar -> Authority (Shift 18)
00120. Consideredinar -> Considered (Shift 18)
00121. Toldinar -> Told (Shift 18)
00122. Xmlinar -> Xml (Shift 18)
00123. Trafficinar -> Traffic (Shift 18)
00124. Programminar -> Programme (Shift 18)
00125. Joinedinar -> Joined (Shift 18)
00126. Inputinar -> Input (Shift 18)
00127. Strategyinar -> Strategy (Shift 18)
00128. Feetinar -> Feet (Shift 18)
00129. Agentinar -> Agent (Shift 18)
00130. Validinar -> Valid (Shift 18)
00131. Bininar -> Bin (Shift 18)
00132. Moderninar -> Modern (Shift 18)
00133. Seniorinar -> Senior (Shift 18)
00134. Irelandinar -> Ireland (Shift 18)
00135. Teachinginar -> Teaching (Shift 18)
00136. Doorinar -> Door (Shift 18)
00137. Grandinar -> Grand (Shift 18)
00138. Testinginar -> Testing (Shift 18)
00139. Trialinar -> Trial (Shift 18)
00140. Charginar -> Charge (Shift 18)
00141. Unitsinar -> Units (Shift 18)
00142. Insteadinar -> Instead (Shift 18)
00143. Canadianinar -> Canadian (Shift 18)
00144. Coolinar -> Cool (Shift 18)
00145. Normalinar -> Normal (Shift 18)
00146. Wrotinar -> Wrote (Shift 18)
00147. Enterprisinar -> Enterprise (Shift 18)
00148. Shipsinar -> Ships (Shift 18)
00149. Entirinar -> Entire (Shift 18)
00150. Educationalinar -> Educational (Shift 18)
00151. Leadinginar -> Leading (Shift 18)
00152. Metalinar -> Metal (Shift 18)
00153. Positivinar -> Positive (Shift 18)
00154. Fitnessinar -> Fitness (Shift 18)
00155. Chinesinar -> Chinese (Shift 18)
00156. Opinioninar -> Opinion (Shift 18)
00157. Asiainar -> Asia (Shift 18)
00158. Footballinar -> Football (Shift 18)
00159. Abstractinar -> Abstract (Shift 18)
00160. Usesinar -> Uses (Shift 18)
00161. Outputinar -> Output (Shift 18)
00162. Fundsinar -> Funds (Shift 18)
00163. Greaterinar -> Greater (Shift 18)
00164. Likelyinar -> Likely (Shift 18)
00165. Developinar -> Develop (Shift 18)
00166. Employeesinar -> Employees (Shift 18)
00167. Artistsinar -> Artists (Shift 18)
00168. Alternativinar -> Alternative (Shift 18)
00169. Processinginar -> Processing (Shift 18)
00170. Responsibilityinar -> Responsibility (Shift 18)
00171. Resolutioninar -> Resolution (Shift 18)
00172. Javainar -> Java (Shift 18)
00173. Guestinar -> Guest (Shift 18)
00174. Seemsinar -> Seems (Shift 18)
00175. Publicationinar -> Publication (Shift 18)
00176. Passinar -> Pass (Shift 18)
00177. Relationsinar -> Relations (Shift 18)
00178. Trustinar -> Trust (Shift 18)
00179. Vaninar -> Van (Shift 18)
00180. Containsinar -> Contains (Shift 18)
00181. Sessioninar -> Session (Shift 18)
00182. Multiinar -> Multi (Shift 18)
00183. Photographyinar -> Photography (Shift 18)
00184. Republicinar -> Republic (Shift 18)
00185. Feesinar -> Fees (Shift 18)
00186. Componentsinar -> Components (Shift 18)
00187. Vacationinar -> Vacation (Shift 18)
00188. Centuryinar -> Century (Shift 18)
00189. Academicinar -> Academic (Shift 18)
00190. Assistancinar -> Assistance (Shift 18)
00191. Completedinar -> Completed (Shift 18)
00192. Skininar -> Skin (Shift 18)
00193. Graphicsinar -> Graphics (Shift 18)
00194. Indianinar -> Indian (Shift 18)
00195. Previnar -> Prev (Shift 18)
00196. Adsinar -> Ads (Shift 18)
00197. Maryinar -> Mary (Shift 18)
00198. Expectedinar -> Expected (Shift 18)
00199. Ringinar -> Ring (Shift 18)
00200. Gradinar -> Grade (Shift 18)
00201. Datinginar -> Dating (Shift 18)
00202. Pacificinar -> Pacific (Shift 18)
00203. Mountaininar -> Mountain (Shift 18)
00204. Organizationsinar -> Organizations (Shift 18)
00205. Popinar -> Pop (Shift 18)
00206. Filterinar -> Filter (Shift 18)
00207. Mailinginar -> Mailing (Shift 18)
00208. Vehiclinar -> Vehicle (Shift 18)
00209. Longerinar -> Longer (Shift 18)
