--- VANDOR'S BATCH 18 ---
00001. Antiguaaar -> Antigua (Shift 13)
00002. Nottinghamaar -> Nottingham (Shift 13)
00003. Thundarar -> Thunder (Shift 13)
00004. Tentaar -> Tent (Shift 13)
00005. Cautionaar -> Caution (Shift 13)
00006. Identifiesaar -> Identifies (Shift 13)
00007. Questionnairaar -> Questionnaire (Shift 13)
00008. Qualificationaar -> Qualification (Shift 13)
00009. Locksaar -> Locks (Shift 13)
00010. Modellingaar -> Modelling (Shift 13)
00011. Namelyaar -> Namely (Shift 13)
00012. Miniaturaar -> Miniature (Shift 13)
00013. Deptaar -> Dept (Shift 13)
00014. Hackaar -> Hack (Shift 13)
00015. Daraar -> Dare (Shift 13)
00016. Eurosaar -> Euros (Shift 13)
00017. Interstataar -> Interstate (Shift 13)
00018. Piratesaar -> Pirates (Shift 13)
00019. Aerialaar -> Aerial (Shift 13)
00020. Hawkaar -> Hawk (Shift 13)
00021. Consequencaar -> Consequence (Shift 13)
00022. Rebelaar -> Rebel (Shift 13)
00023. Systematicaar -> Systematic (Shift 13)
00024. Perceivedaar -> Perceived (Shift 13)
00025. Originsaar -> Origins (Shift 13)
00026. Hiredaar -> Hired (Shift 13)
00027. Makeupaar -> Makeup (Shift 13)
00028. Textilaar -> Textile (Shift 13)
00029. Lambaar -> Lamb (Shift 13)
00030. Madagascaraar -> Madagascar (Shift 13)
00031. Nathanaar -> Nathan (Shift 13)
00032. Tobagoaar -> Tobago (Shift 13)
00033. Presentingaar -> Presenting (Shift 13)
00034. Cosaar -> Cos (Shift 13)
00035. Troubleshootingaar -> Troubleshooting (Shift 13)
00036. Uzbekistanaar -> Uzbekistan (Shift 13)
00037. Indexesaar -> Indexes (Shift 13)
00038. Erpaar -> Erp (Shift 13)
00039. Centuriesaar -> Centuries (Shift 13)
00040. Magnitudaar -> Magnitude (Shift 13)
00041. Richardsonaar -> Richardson (Shift 13)
00042. Hinduaar -> Hindu (Shift 13)
00043. Fragrancesaar -> Fragrances (Shift 13)
00044. Vocabularyaar -> Vocabulary (Shift 13)
00045. Lickingaar -> Licking (Shift 13)
00046. Earthquakaar -> Earthquake (Shift 13)
00047. Vpnaar -> Vpn (Shift 13)
00048. Fundraisingaar -> Fundraising (Shift 13)
00049. Fccaar -> Fcc (Shift 13)
00050. Markersaar -> Markers (Shift 13)
00051. Weightsaar -> Weights (Shift 13)
00052. Albaniaaar -> Albania (Shift 13)
00053. Geologicalaar -> Geological (Shift 13)
00054. Assessingaar -> Assessing (Shift 13)
00055. Lastingaar -> Lasting (Shift 13)
00056. Wickedaar -> Wicked (Shift 13)
00057. Edsaar -> Eds (Shift 13)
00058. Introducesaar -> Introduces (Shift 13)
00059. Killsaar -> Kills (Shift 13)
00060. Roommataar -> Roommate (Shift 13)
00061. Webcamsaar -> Webcams (Shift 13)
00062. Pushedaar -> Pushed (Shift 13)
00063. Webmastersaar -> Webmasters (Shift 13)
00064. Computationalaar -> Computational (Shift 13)
00065. Acdbentityaar -> Acdbentity (Shift 13)
00066. Participatedaar -> Participated (Shift 13)
00067. Junkaar -> Junk (Shift 13)
00068. Handheldsaar -> Handhelds (Shift 13)
00069. Waxaar -> Wax (Shift 13)
00070. Lucyaar -> Lucy (Shift 13)
00071. Answeringaar -> Answering (Shift 13)
00072. Hansaar -> Hans (Shift 13)
00073. Impressedaar -> Impressed (Shift 13)
