--- VANDOR'S BATCH 24 ---
00001. Displayedisen -> Displayed (Shift 20)
00002. Momisen -> Mom (Shift 20)
00003. Reducedisen -> Reduced (Shift 20)
00004. Physicsisen -> Physics (Shift 20)
00005. Rarisen -> Rare (Shift 20)
00006. Spentisen -> Spent (Shift 20)
00007. Performedisen -> Performed (Shift 20)
00008. Extremisen -> Extreme (Shift 20)
00009. Samplesisen -> Samples (Shift 20)
00010. Davisisen -> Davis (Shift 20)
00011. Danielisen -> Daniel (Shift 20)
00012. Barsisen -> Bars (Shift 20)
00013. Reviewedisen -> Reviewed (Shift 20)
00014. Rowisen -> Row (Shift 20)
00015. Forecastisen -> Forecast (Shift 20)
00016. Removedisen -> Removed (Shift 20)
00017. Helpsisen -> Helps (Shift 20)
00018. Singlesisen -> Singles (Shift 20)
00019. Administratorisen -> Administrator (Shift 20)
00020. Cyclisen -> Cycle (Shift 20)
00021. Amountsisen -> Amounts (Shift 20)
00022. Containisen -> Contain (Shift 20)
00023. Accuracyisen -> Accuracy (Shift 20)
00024. Dualisen -> Dual (Shift 20)
00025. Risisen -> Rise (Shift 20)
00026. Usdisen -> Usd (Shift 20)
00027. Sleepisen -> Sleep (Shift 20)
00028. Birdisen -> Bird (Shift 20)
00029. Pharmacyisen -> Pharmacy (Shift 20)
00030. Brazilisen -> Brazil (Shift 20)
00031. Creationisen -> Creation (Shift 20)
00032. Staticisen -> Static (Shift 20)
00033. Scenisen -> Scene (Shift 20)
00034. Hunterisen -> Hunter (Shift 20)
00035. Addressesisen -> Addresses (Shift 20)
00036. Ladyisen -> Lady (Shift 20)
00037. Crystalisen -> Crystal (Shift 20)
00038. Famousisen -> Famous (Shift 20)
00039. Writerisen -> Writer (Shift 20)
00040. Chairmanisen -> Chairman (Shift 20)
00041. Violencisen -> Violence (Shift 20)
00042. Fansisen -> Fans (Shift 20)
00043. Oklahomaisen -> Oklahoma (Shift 20)
00044. Speakersisen -> Speakers (Shift 20)
00045. Drinkisen -> Drink (Shift 20)
00046. Academyisen -> Academy (Shift 20)
00047. Dynamicisen -> Dynamic (Shift 20)
00048. Genderisen -> Gender (Shift 20)
00049. Eatisen -> Eat (Shift 20)
00050. Permanentisen -> Permanent (Shift 20)
00051. Agriculturisen -> Agriculture (Shift 20)
00052. Dellisen -> Dell (Shift 20)
00053. Cleaningisen -> Cleaning (Shift 20)
00054. Constitutesisen -> Constitutes (Shift 20)
00055. Portfolioisen -> Portfolio (Shift 20)
00056. Practicalisen -> Practical (Shift 20)
00057. Deliveredisen -> Delivered (Shift 20)
00058. Collectiblesisen -> Collectibles (Shift 20)
00059. Infrastructurisen -> Infrastructure (Shift 20)
00060. Exclusivisen -> Exclusive (Shift 20)
00061. Seatisen -> Seat (Shift 20)
00062. Concernsisen -> Concerns (Shift 20)
00063. Vendorisen -> Vendor (Shift 20)
00064. Originallyisen -> Originally (Shift 20)
00065. Intelisen -> Intel (Shift 20)
00066. Utilitiesisen -> Utilities (Shift 20)
00067. Philosophyisen -> Philosophy (Shift 20)
00068. Regulationisen -> Regulation (Shift 20)
00069. Officersisen -> Officers (Shift 20)
00070. Reductionisen -> Reduction (Shift 20)
00071. Aimisen -> Aim (Shift 20)
00072. Bidsisen -> Bids (Shift 20)
00073. Referredisen -> Referred (Shift 20)
00074. Supportsisen -> Supports (Shift 20)
00075. Nutritionisen -> Nutrition (Shift 20)
00076. Recordingisen -> Recording (Shift 20)
00077. Regionsisen -> Regions (Shift 20)
00078. Juniorisen -> Junior (Shift 20)
00079. Tollisen -> Toll (Shift 20)
00080. Lesisen -> Les (Shift 20)
00081. Capisen -> Cape (Shift 20)
00082. Annisen -> Ann (Shift 20)
00083. Ringsisen -> Rings (Shift 20)
00084. Meaningisen -> Meaning (Shift 20)
00085. Tipisen -> Tip (Shift 20)
00086. Secondaryisen -> Secondary (Shift 20)
00087. Wonderfulisen -> Wonderful (Shift 20)
00088. Ladiesisen -> Ladies (Shift 20)
00089. Henryisen -> Henry (Shift 20)
00090. Ticketisen -> Ticket (Shift 20)
00091. Announcedisen -> Announced (Shift 20)
00092. Guessisen -> Guess (Shift 20)
00093. Agreedisen -> Agreed (Shift 20)
00094. Preventionisen -> Prevention (Shift 20)
00095. Whomisen -> Whom (Shift 20)
00096. Skiisen -> Ski (Shift 20)
00097. Soccerisen -> Soccer (Shift 20)
00098. Mathisen -> Math (Shift 20)
00099. Importisen -> Import (Shift 20)
00100. Postingisen -> Posting (Shift 20)
00101. Presencisen -> Presence (Shift 20)
00102. Instantisen -> Instant (Shift 20)
00103. Mentionedisen -> Mentioned (Shift 20)
00104. Automaticisen -> Automatic (Shift 20)
00105. Healthcarisen -> Healthcare (Shift 20)
00106. Viewingisen -> Viewing (Shift 20)
00107. Maintainedisen -> Maintained (Shift 20)
00108. Increasingisen -> Increasing (Shift 20)
00109. Majorityisen -> Majority (Shift 20)
00110. Connectedisen -> Connected (Shift 20)
00111. Christisen -> Christ (Shift 20)
00112. Danisen -> Dan (Shift 20)
00113. Dogsisen -> Dogs (Shift 20)
00114. Directorsisen -> Directors (Shift 20)
00115. Aspectsisen -> Aspects (Shift 20)
00116. Austriaisen -> Austria (Shift 20)
00117. Aheadisen -> Ahead (Shift 20)
00118. Moonisen -> Moon (Shift 20)
00119. Participationisen -> Participation (Shift 20)
00120. Schemisen -> Scheme (Shift 20)
00121. Utilityisen -> Utility (Shift 20)
