--- VANDOR'S BATCH 16 ---
00001. Lettingoron -> Letting (Shift 11)
00002. Arisoron -> Arise (Shift 11)
00003. Guatemalaoron -> Guatemala (Shift 11)
00004. Celticoron -> Celtic (Shift 11)
00005. Therebyoron -> Thereby (Shift 11)
00006. Ircoron -> Irc (Shift 11)
00007. Jamioron -> Jamie (Shift 11)
00008. Particloron -> Particle (Shift 11)
00009. Perceptionoron -> Perception (Shift 11)
00010. Mineralsoron -> Minerals (Shift 11)
00011. Advisoron -> Advise (Shift 11)
00012. Humidityoron -> Humidity (Shift 11)
00013. Bottlesoron -> Bottles (Shift 11)
00014. Boxingoron -> Boxing (Shift 11)
00015. Bangkokoron -> Bangkok (Shift 11)
00016. Renaissancoron -> Renaissance (Shift 11)
00017. Pathologyoron -> Pathology (Shift 11)
00018. Saraoron -> Sara (Shift 11)
00019. Braoron -> Bra (Shift 11)
00020. Ordinancoron -> Ordinance (Shift 11)
00021. Hughesoron -> Hughes (Shift 11)
00022. Photographersoron -> Photographers (Shift 11)
00023. Infectionsoron -> Infections (Shift 11)
00024. Jeffreyoron -> Jeffrey (Shift 11)
00025. Chessoron -> Chess (Shift 11)
00026. Operatesoron -> Operates (Shift 11)
00027. Brisbanoron -> Brisbane (Shift 11)
00028. Configuredoron -> Configured (Shift 11)
00029. Survivoron -> Survive (Shift 11)
00030. Oscaroron -> Oscar (Shift 11)
00031. Festivalsoron -> Festivals (Shift 11)
00032. Menusoron -> Menus (Shift 11)
00033. Joanoron -> Joan (Shift 11)
00034. Possibilitiesoron -> Possibilities (Shift 11)
00035. Duckoron -> Duck (Shift 11)
00036. Revealoron -> Reveal (Shift 11)
00037. Canaloron -> Canal (Shift 11)
00038. Aminooron -> Amino (Shift 11)
00039. Phioron -> Phi (Shift 11)
00040. Contributingoron -> Contributing (Shift 11)
00041. Herbsoron -> Herbs (Shift 11)
00042. Clinicsoron -> Clinics (Shift 11)
00043. Mlsoron -> Mls (Shift 11)
00044. Coworon -> Cow (Shift 11)
00045. Manitobaoron -> Manitoba (Shift 11)
00046. Analyticaloron -> Analytical (Shift 11)
00047. Missionsoron -> Missions (Shift 11)
00048. Watsonoron -> Watson (Shift 11)
00049. Lyingoron -> Lying (Shift 11)
00050. Costumesoron -> Costumes (Shift 11)
00051. Strictoron -> Strict (Shift 11)
00052. Divoron -> Dive (Shift 11)
00053. Saddamoron -> Saddam (Shift 11)
00054. Circulationoron -> Circulation (Shift 11)
00055. Drilloron -> Drill (Shift 11)
00056. Offensoron -> Offense (Shift 11)
00057. Bryanoron -> Bryan (Shift 11)
00058. Cetoron -> Cet (Shift 11)
00059. Protestoron -> Protest (Shift 11)
00060. Assumptionoron -> Assumption (Shift 11)
00061. Jerusalemoron -> Jerusalem (Shift 11)
00062. Hobbyoron -> Hobby (Shift 11)
00063. Triesoron -> Tries (Shift 11)
00064. Transexualesoron -> Transexuales (Shift 11)
00065. Inventionoron -> Invention (Shift 11)
00066. Nicknamoron -> Nickname (Shift 11)
00067. Fijioron -> Fiji (Shift 11)
00068. Technicianoron -> Technician (Shift 11)
00069. Inlinoron -> Inline (Shift 11)
00070. Executivesoron -> Executives (Shift 11)
00071. Enquiriesoron -> Enquiries (Shift 11)
00072. Washingoron -> Washing (Shift 11)
00073. Audioron -> Audi (Shift 11)
00074. Staffingoron -> Staffing (Shift 11)
00075. Cognitivoron -> Cognitive (Shift 11)
00076. Exploringoron -> Exploring (Shift 11)
00077. Trickoron -> Trick (Shift 11)
00078. Enquiryoron -> Enquiry (Shift 11)
00079. Closuroron -> Closure (Shift 11)
00080. Raidoron -> Raid (Shift 11)
00081. Ppcoron -> Ppc (Shift 11)
00082. Timberoron -> Timber (Shift 11)
00083. Voltoron -> Volt (Shift 11)
00084. Intensoron -> Intense (Shift 11)
00085. Playlistoron -> Playlist (Shift 11)
00086. Registraroron -> Registrar (Shift 11)
00087. Showersoron -> Showers (Shift 11)
00088. Supportersoron -> Supporters (Shift 11)
00089. Rulingoron -> Ruling (Shift 11)
00090. Steadyoron -> Steady (Shift 11)
00091. Dirtoron -> Dirt (Shift 11)
00092. Statutesoron -> Statutes (Shift 11)
00093. Withdrawaloron -> Withdrawal (Shift 11)
00094. Myersoron -> Myers (Shift 11)
00095. Dropsoron -> Drops (Shift 11)
00096. Predictedoron -> Predicted (Shift 11)
00097. Wideroron -> Wider (Shift 11)
00098. Saskatchewanoron -> Saskatchewan (Shift 11)
00099. Cancellationoron -> Cancellation (Shift 11)
00100. Pluginsoron -> Plugins (Shift 11)
00101. Enrolledoron -> Enrolled (Shift 11)
00102. Sensorsoron -> Sensors (Shift 11)
00103. Screworon -> Screw (Shift 11)
00104. Ministersoron -> Ministers (Shift 11)
00105. Publiclyoron -> Publicly (Shift 11)
00106. Hourlyoron -> Hourly (Shift 11)
00107. Blamoron -> Blame (Shift 11)
00108. Genevaoron -> Geneva (Shift 11)
00109. Freebsdoron -> Freebsd (Shift 11)
00110. Veterinaryoron -> Veterinary (Shift 11)
00111. Aceroron -> Acer (Shift 11)
00112. Prostoresoron -> Prostores (Shift 11)
00113. Reselleroron -> Reseller (Shift 11)
00114. Distoron -> Dist (Shift 11)
00115. Handedoron -> Handed (Shift 11)
00116. Sufferedoron -> Suffered (Shift 11)
00117. Intakoron -> Intake (Shift 11)
00118. Informaloron -> Informal (Shift 11)
00119. Relevancoron -> Relevance (Shift 11)
00120. Incentivoron -> Incentive (Shift 11)
