--- VANDOR'S BATCH 20 ---
00001. Chancellorenar -> Chancellor (Shift 15)
00002. Mamboenar -> Mambo (Shift 15)
00003. Limenar -> Lime (Shift 15)
00004. Kirkenar -> Kirk (Shift 15)
00005. Controversyenar -> Controversy (Shift 15)
00006. Legendaryenar -> Legendary (Shift 15)
00007. Bolenar -> Bool (Shift 15)
00008. Sympathyenar -> Sympathy (Shift 15)
00009. Choirenar -> Choir (Shift 15)
00010. Avoidingenar -> Avoiding (Shift 15)
00011. Beutifullyenar -> Beautifully (Shift 15)
00012. Expectsenar -> Expects (Shift 15)
00013. Choenar -> Cho (Shift 15)
00014. Jumpingenar -> Jumping (Shift 15)
00015. Fabricsenar -> Fabrics (Shift 15)
00016. Antibodiesenar -> Antibodies (Shift 15)
00017. Polymerenar -> Polymer (Shift 15)
00018. Hygienenar -> Hygiene (Shift 15)
00019. Witenar -> Wit (Shift 15)
00020. Poltryenar -> Poultry (Shift 15)
00021. Virtuenar -> Virtue (Shift 15)
00022. Burstenar -> Burst (Shift 15)
00023. Examinationsenar -> Examinations (Shift 15)
00024. Surgeonsenar -> Surgeons (Shift 15)
00025. Boquetenar -> Bouquet (Shift 15)
00026. Immunologyenar -> Immunology (Shift 15)
00027. Promotesenar -> Promotes (Shift 15)
00028. Mandatenar -> Mandate (Shift 15)
00029. Wileyenar -> Wiley (Shift 15)
00030. Departmentalenar -> Departmental (Shift 15)
00031. Bbsenar -> Bbs (Shift 15)
00032. Spasenar -> Spas (Shift 15)
00033. Indenar -> Ind (Shift 15)
00034. Corpusenar -> Corpus (Shift 15)
00035. Johnstonenar -> Johnston (Shift 15)
00036. Terminologyenar -> Terminology (Shift 15)
00037. Gentlemanenar -> Gentleman (Shift 15)
00038. Fibrenar -> Fibre (Shift 15)
00039. Reproducenar -> Reproduce (Shift 15)
00040. Convictedenar -> Convicted (Shift 15)
00041. Shadesenar -> Shades (Shift 15)
00042. Jetsenar -> Jets (Shift 15)
00043. Indicesenar -> Indices (Shift 15)
00044. Rommatesenar -> Roommates (Shift 15)
00045. Adwarenar -> Adware (Shift 15)
00046. Quienar -> Qui (Shift 15)
